ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.517562,6.4932,4.608554,4.591447,15.99146,0.275424,2.544963,25.09695,,NONE
-1,6.51756,6.493203,4.608552,4.591449,15.99146,0.2754305,2.542202,25.19533,,NONE
-1,6.517569,6.4932,4.608554,4.591447,15.99146,0.2754323,2.539358,25.29666,,NONE
-1,6.517565,6.493202,4.608553,4.591448,15.99146,0.2754306,2.536571,25.39602,,NONE
-1,6.517565,6.4932,4.608553,4.591448,15.99146,0.2754277,2.533779,25.49559,,NONE
-1,6.517567,6.493201,4.608552,4.591449,15.99146,0.275431,2.530965,25.5958,,NONE
-1,6.517568,6.493201,4.608552,4.591449,15.99146,0.2754265,2.52816,25.69577,,NONE
-1,6.51757,6.493195,4.608554,4.591447,15.99146,0.2754291,2.525383,25.79472,,NONE
-1,6.517568,6.493197,4.608552,4.591449,15.99146,0.275427,2.522561,25.89528,,NONE
-1,6.517567,6.493196,4.608553,4.591448,15.99146,0.2754303,2.519739,25.99577,,NONE
-1,6.51757,6.493196,4.608552,4.591449,15.99146,0.2754315,2.516946,26.09532,,NONE
-1,6.517574,6.493195,4.608553,4.591448,15.99146,0.2754306,2.514153,26.19481,,NONE
-1,6.517574,6.493195,4.608553,4.591448,15.99146,0.2754317,2.511335,26.2952,,NONE
-1,6.51757,6.493196,4.608552,4.591449,15.99146,0.2754253,2.508507,26.39598,,NONE
-1,6.517573,6.493193,4.608554,4.591447,15.99146,0.2754295,2.505689,26.49634,,NONE
-1,6.517571,6.493195,4.608552,4.591449,15.99146,0.2754266,2.502876,26.59659,,NONE
-1,6.517574,6.493193,4.608554,4.591447,15.99146,0.2754294,2.50008,26.69622,,NONE
-1,6.517576,6.49319,4.608553,4.591448,15.99146,0.2754288,2.497272,26.79622,,NONE
-1,6.517571,6.493191,4.608552,4.591449,15.99146,0.2754285,2.494481,26.89565,,NONE
-1,6.517577,6.493189,4.608553,4.591448,15.99146,0.2754282,2.491646,26.99667,,NONE
-1,6.517577,6.493189,4.608553,4.591448,15.99146,0.2754251,2.488868,27.09566,,NONE
-1,6.517575,6.493187,4.608554,4.591447,15.99146,0.2754302,2.486072,27.19527,,NONE
-1,6.517582,6.493188,4.608554,4.591447,15.99146,0.2754279,2.483282,27.2947,,NONE
-1,6.517581,6.493186,4.608554,4.591447,15.99146,0.2754325,2.480458,27.39529,,NONE
-1,6.517578,6.493188,4.608553,4.591448,15.99146,0.2754305,2.477624,27.49628,,NONE
-1,6.517579,6.493188,4.608553,4.591448,15.99146,0.2754318,2.474811,27.59655,,NONE
-1,6.517581,6.493185,4.608552,4.591449,15.99146,0.2754313,2.472031,27.69561,,NONE
-1,6.517581,6.493185,4.608552,4.591449,15.99146,0.2754295,2.469207,27.79627,,NONE
-1,6.517581,6.493184,4.608552,4.591449,15.99146,0.2754299,2.466414,27.89573,,NONE
-1,6.517585,6.493182,4.608554,4.591447,15.99146,0.2754252,2.463615,27.99549,,NONE
-1,6.517585,6.493182,4.608554,4.591447,15.99146,0.275429,2.460812,28.09536,,NONE
-1,6.517585,6.493181,4.608554,4.591447,15.99146,0.2754292,2.458019,28.19486,,NONE
-1,6.517582,6.493184,4.608552,4.591449,15.99146,0.27543,2.455199,28.29529,,NONE
-1,6.517586,6.493181,4.608554,4.591447,15.99146,0.2754286,2.452358,28.39655,,NONE
-1,6.517582,6.493182,4.608552,4.591449,15.99146,0.2754234,2.449546,28.49675,,NONE
-1,6.517588,6.493178,4.608553,4.591448,15.99146,0.2754273,2.446792,28.59487,,NONE
-1,6.517587,6.493176,4.608554,4.591447,15.99146,0.2754294,2.443952,28.69597,,NONE
-1,6.517587,6.493176,4.608554,4.591447,15.99146,0.2754317,2.441153,28.79572,,NONE
-1,6.517584,6.493179,4.608552,4.591449,15.99146,0.275425,2.438336,28.89609,,NONE
-1,6.517587,6.493175,4.608554,4.591447,15.99146,0.2754298,2.43552,28.9964,,NONE
-1,6.517595,6.493176,4.608554,4.591447,15.99146,0.2754293,2.43272,29.09613,,NONE
-1,6.517595,6.493175,4.608554,4.591447,15.99146,0.2754269,2.429931,29.19548,,NONE
-1,6.51759,6.493176,4.608553,4.591448,15.99146,0.2754312,2.427146,29.29472,,NONE
-1,6.517591,6.493176,4.608553,4.591448,15.99146,0.2754291,2.424329,29.39507,,NONE
-1,6.517577,6.493188,4.608543,4.591458,15.99147,0.2754318,2.421499,29.49583,,NONE
-1,6.517564,6.493203,4.608531,4.59147,15.99148,0.2754291,2.418703,29.59547,,NONE
